BRC code,Taxon name,Fam,FamA,OrdA,NS,CS,RS,Chg,Hght,Len,P1,P2,LF1,LF2,W,Clone1,Clone2,E1,E2,C,NBI,NEur,SBI,SEur,Origin,GB,IR,CI,Tjan,Tjul,Prec,Co,Br Habitats,L,F,R,N,S,Source for max height,Comment on life form,Comment on clonality,Comment on N and S limits in Europe
0920    41,Aira caryophyllea,Poac,Poac,Poal,N,,n,-0.52,25,,a,,Th,,h,0,,8,3,,1,60-65,0,<45,,2046,656,14,3.7,14.6,1087,,"10, 16",8,2,5,2,0,Stace (1997),,,
0920    42,Aira praecox,Poac,Poac,Poal,N,,n,-0.19,10,,a,,Th,,h,0,,8,2,,0,60-65,0,<45,,2450,659,13,3.5,14.3,1149,,"8, 16",8,2,4,2,0,Stace (1997),,,
0920    43,Ajuga chamaepitys,Lami,Lami,Lami,NA,VU,r,-0.62,20,,p,,hc,,h,0,,8,3,,0,50-55,0,<45,,43,0,0,3.8,16.5,713,,"4, 7",7,4,8,2,0,Stace (1997),,,
0920    45,Ajuga pyramidalis,Lami,Lami,Lami,N,,s,-0.34,30,,p,,hc,,h,0,,4,3,,0,>65,0,<45,,106,8,0,3.3,12.6,1425,,"10, 16",7,5,5,2,0,Stace (1997),,,
0920    46,Ajuga reptans,Lami,Lami,Lami,N,,n,-0.56,30,,p,,hc,,h,Stol2,,7,3,,0,60-65,0,<45,,2439,717,3,3.4,14.6,1095,,1,5,7,5,5,0,Stace (1997),,,
0920    47,Alchemilla acutiloba,Rosa,Rosa,Rosa,N,,r,,60,,p,,hc,,h,0,,5,3,c,0,60-65,0,<45,,15,0,0,1.6,13.2,969,,6,7,4,6,5,0,"CDP - measurement in CGE 55 cm but ""getting too large for herbarium sheet""; Stace (1997) - ""large""",,,
0920    48,Alchemilla alpina,Rosa,Rosa,Rosa,N,,n,-0.61,15,,p,,hc,,h,0,,1,3,,0,>65,0,<45,,384,4,0,1.6,12.1,1843,,"7, 15, 16",7,5,4,3,0,"CDP - measurement in CGE ""exceptionally large plants scarcely reach 20""",,,
0920  4480,Alchemilla filicaulis,Rosa,Rosa,Rosa,N,,n,,30,,p,,hc,,h,0,,4,3,,0,>65,0,<45,,1407,308,0,2.9,14.1,1185,,"7, 15, 16",8,6,6,3,0,"CDP - measurement in CGE of subsp. vestita;  Stace (1997) ""small or medium""",,,
0920    51,Alchemilla glabra,Rosa,Rosa,Rosa,N,,n,,40,,p,,hc,,h,0,,5,3,,0,>65,0,<45,,1271,223,0,2.6,13.4,1338,,"6, 15, 16",7,6,6,4,0,"CDP - measurement in CGE;  Stace (1997) ""large""",,,
0920    54,Alchemilla glaucescens,Rosa,Rosa,Rosa,N,,s,,15,,p,,hc,,h,0,,5,3,c,0,60-65,0,<45,,20,3,0,2.0,13.3,1408,,7,7,5,7,5,0,"CDP - measurement in CGE, most plants less than 10 cm;  Stace (1997) ""small""",,,
0920    52,Alchemilla glomerulans,Rosa,Rosa,Rosa,N,,s,,30,,p,,hc,,h,0,,2,3,,0,>65,0,<45,,57,0,0,0.4,11.5,1978,,"8, 15",7,5,5,4,0,"CDP - measurement in CGE;  Stace (1997) ""medium""",,,
0920  2552,Alchemilla micans,Rosa,Rosa,Rosa,N,VU,r,,40,,p,,hc,,h,0,,5,3,c,0,>65,0,<45,,4,0,0,2.0,13.5,1056,,7,7,5,7,5,0,"CDP - measurement in CGE;  Stace (1997) ""medium""",,,
0920    53,Alchemilla minima,Rosa,Rosa,Rosa,NE,VU,r,,5,,p,,hc,,h,0,,4,1,,,,,,,3,0,0,1.7,13.5,1667,,7,7,6,8,3,0,"CDP - measurement in CGE;  Stace (1997) ""small""",,,
0920  2255,Alchemilla mollis,Rosa,Rosa,Rosa,AN,,,,60,,p,,hc,,h,0,,,,,,,,,Eur,805,17,1,3.5,15.0,1009,,"3, 17",6,5,7,6,0,"CDP - measurement in CGE;  Stace (1991) ""plant large"";  height conf. in garden (MOH)",,,
0920    55,Alchemilla monticola,Rosa,Rosa,Rosa,N,,r,,35,,p,,hc,,h,0,,5,3,c,0,>65,0,<45,,9,0,0,1.3,13.0,1084,,6,7,4,6,4,0,"CDP - measurement in CGE;  Stace (1997) ""medium""",,,
0920    56,Alchemilla subcrenata,Rosa,Rosa,Rosa,N,EN,r,,35,,p,,hc,,h,0,,5,3,c,0,>65,0,<45,,2,0,0,0.9,12.6,1125,,6,7,4,6,5,0,"CDP - measurement in CGE;  Stace (1997) ""medium""",,,
0920    58,Alchemilla vulgaris agg.,Rosa,Rosa,Rosa,N,,n,-0.01,35,,p,,hc,,h,0,,5,3,,,,,,,1935,496,0,3.1,14.1,1179,,"6, 7, 15, 16",7,5,6,4,0,average of all except A. alpina,,,
0920    59,Alchemilla wichurae,Rosa,Rosa,Rosa,N,,s,,20,,p,,hc,,h,0,,4,3,,0,>65,0,50-55,,65,0,0,0.9,12.0,1992,,7,7,5,5,3,0,"CDP - measurement in CGE;  Stace (1997) ""plant medium""",,,
0920    60,Alchemilla xanthochlora,Rosa,Rosa,Rosa,N,,n,,40,,p,,hc,,h,0,,7,3,,0,60-65,0,<45,,1060,240,0,2.8,13.9,1174,,"6, 7",6,5,6,4,0,"CDP - measurement in CGE;  Stace (1997) ""rather small""",,,
0920    61,Alisma gramineum,Alis,Alis,Alis,N,CR,r,,,30,p,,Hy,,h,0,,7,6,c,0,55-60,0,<45,,4,0,0,3.5,16.2,612,,13,7,11,7,4,0,CTW (1962),,,
0920    62,Alisma lanceolatum,Alis,Alis,Alis,N,,n,0.38,100,,p,,Hy,,h,0,,8,4,,0,55-60,0,<45,,464,41,0,3.7,16.0,757,,13,8,10,7,7,0,Submerged leaves rarely develop (Preston & Croft 1997),"although a water plant, basic behaviour is as a rosette hemicryptophyte",,
0920    63,Alisma plantago-aquatica,Alis,Alis,Alis,N,,n,-0.19,100,50,p,,Hy,,h,0,,6,6,,0,>65,0,<45,,1761,624,8,3.8,15.2,950,,"11, 13",7,10,7,7,0,Stace (1991);  length of submerged lvs estimated from fact that does not flower when water deeper than 65 cm (Preston & Croft 1997),"although a water plant, basic behaviour is as a rosette hemicryptophyte",,
0920    64,Alliaria petiolata,Bras,Bras,Bras,N,,n,0.03,120,,b,,hc,,h,0,,7,3,,0,60-65,0,<45,,1990,367,9,3.6,15.1,935,,3,5,6,7,8,0,Rich (1991),,"CTW say it sometimes persists by root buds, but CPE say usually monocarpic",
0920  8283,Allium ampeloprasum,Lili,Alli,Aspa,AR,,,0.77,180,,p,,Gb,,h,0tb,DRi,9,1,,,,,,,66,24,6,5.5,15.5,1068,,3,8,4,6,5,0,Sell & Murrell (1996),,,
0920    67,Allium carinatum,Lili,Alli,Aspa,AN,,,0.64,60,,p,,Gb,,h,0tb,DRi,,,,,,,,Eur,138,16,0,3.5,14.9,920,,"3, 17",8,4,7,2,0,Stace (1997),,,
0920  9184,Allium cepa,Lili,Alli,Aspa,AC,,,,100,,p,,Gb,,h,0tb,DRg,,,,,,,,Crop,43,0,0,3.9,15.8,823,,4,7,4,7,8,0,Stace (1997),,,
0920    68,Allium oleraceum,Lili,Alli,Aspa,N,,n,-0.24,80,,p,,Gb,,h,0tb,DRi,7,3,,0,>65,0,<45,,327,0,0,3.4,15.4,827,,7,7,5,7,4,0,Stace (1997),,,
0920    69,Allium paradoxum,Lili,Alli,Aspa,AN,,,1.83,40,,p,,Gb,,h,0tb,DRi,,,,,,,,Eur,316,10,0,3.2,15.1,810,,"1, 3",6,5,5,7,1,Stace (1997),,Production of offsets by analogy with A. triquetrum;  needs confirmation,
0920    70,Allium roseum,Lili,Alli,Aspa,AN,,,,75,,p,,Gb,,h,0tb,DRi,0,3,,,,,,Eur,135,0,6,4.9,16.1,878,,"3, 16",7,4,6,5,0,Stace (1997),,,
0920    72,Allium schoenoprasum,Lili,Alli,Aspa,N,,s,1.69,45,,p,,Gb,,h,Rhiz1,,2,6,c,0,>65,0,<45,,21,2,0,4.0,14.9,1052,,16,8,6,5,1,0,average of CTW (1962) & Stace (1997),,bulbs clustered on a short rhizome (CTW),
0920    71,Allium scorodoprasum,Lili,Alli,Aspa,N,,n,0.30,80,,p,,Gb,,h,0tb,,7,3,c,0,60-65,0,<45,,181,0,0,3.0,14.5,1000,,"1, 3, 6",6,6,7,7,0,Stace (1997),,,
0920    73,Allium sphaerocephalon,Lili,Alli,Aspa,NA,EN,r,,80,,p,,Gb,,h,0tb,,8,3,,0,50-55,0,<45,,1,0,2,5.6,16.8,850,,"16, 17",9,3,8,2,0,Stace (1997),,,
0920    74,Allium triquetrum,Lili,Alli,Aspa,AN,,,2.46,45,,p,,Gb,,h,0tb,,0,3,,,,,,Eur,311,123,13,4.9,15.7,956,,3,6,4,6,5,0,Stace (1997),,,
0920    75,Allium ursinum,Lili,Alli,Aspa,N,,n,0.24,45,,p,,Gb,,h,0,,7,3,,0,60-65,0,<45,,2034,371,0,3.5,14.8,1065,,1,4,6,7,7,0,Stace (1997),,,
0920    76,Allium vineale,Lili,Alli,Aspa,N,,n,0.90,80,,p,,Gb,,h,0tb,DRi,7,3,,0,60-65,0,<45,,1197,82,11,4.0,15.6,884,,"3, 6, 7",7,5,8,6,0,Stace (1997),,,
0920    77,Alnus glutinosa,Betu,Betu,Faga,N,,n,-0.32,2000,,p,,Ph,,w,0,,7,4,,0,>65,0,<45,,2478,901,10,3.5,14.5,1100,,"1, 14",5,8,6,6,0,CTW (1962),,,
0920    78,Alnus incana,Betu,Betu,Faga,AN,,,,2000,,p,,Ph,,w,0,,4,6,c,,,,,NHem,714,71,0,3.4,15.0,984,,"1, 3",6,7,6,4,0,CTW (1962),,,
0920    79,Alopecurus aequalis,Poac,Poac,Poal,N,,n,-0.33,40,,a,p,Th,hc,h,0,,5,6,,0,>65,0,<45,,298,3,1,3.5,16.0,717,,13,8,9,4,7,0,Stace (1997),Own Mountford says normally annual,,
0920    80,Alopecurus borealis,Poac,Poac,Poal,N,,s,-0.24,50,,p,,hc,,h,0gr,,1,6,c,0,>65,1,50-55,,37,0,0,-0.6,11.0,1514,,11,8,9,5,3,0,Stace (1997),,,
0920    81,Alopecurus bulbosus,Poac,Poac,Poal,N,,s,0.30,29,,p,,hc,,h,0gr,,8,2,,0,50-55,0,<45,,92,0,1,4.6,16.4,826,,6,8,7,7,5,3,Sell & Murrell (1996),,,
0920    82,Alopecurus geniculatus,Poac,Poac,Poal,N,,n,0.83,40,,p,,hc,,h,Node2,,5,3,,0,>65,0,<45,,2598,805,8,3.5,14.5,1087,,6,8,7,6,6,1,Stace (1997),,,
0920    84,Alopecurus myosuroides,Poac,Poac,Poal,AR,,,0.42,80,,a,,Th,,h,0,,8,3,,,,,,,1071,6,4,3.7,15.9,765,,4,6,5,7,6,0,Stace (1997),,,
0920    85,Alopecurus pratensis,Poac,Poac,Poal,N,,n,0.09,105,,p,,hc,,h,0gr,,5,4,,0,>65,0,<45,,2424,738,8,3.5,14.7,1032,,6,7,5,6,7,0,average of CTW (1962) & Stace (1997),,,
0920    86,Althaea hirsuta,Malv,Malv,Malv,AN,,,0.11,60,,a,,Th,,h,0,,8,3,,,,,,Eur,88,0,1,4.1,16.1,804,,"1, 7",9,4,8,3,0,Stace (1997),,,
0920    87,Althaea officinalis,Malv,Malv,Malv,N,,s,-0.29,120,,p,,hc,,h,0,,7,4,,0,55-60,0,<45,,125,0,2,4.4,16.4,774,,"13, 21",7,7,8,4,2,CTW (1962),,,
0920    90,Amaranthus albus,Amar,Amar,Cary,AN,,,,60,,a,,Th,,h,0,,,,,,,,,Am,99,4,2,4.0,16.1,743,,17,8,5,8,7,0,Stace (1997),,,
0920    92,Amaranthus retroflexus,Amar,Amar,Cary,AN,,,,100,,a,,Th,,h,0,,,,,,,,,"Am, SAm",434,36,10,4.0,16.0,787,,"3, 4, 17",7,4,7,7,0,Stace (1997),,,
0920    97,Ammophila arenaria,Poac,Poac,Poal,N,,n,-0.26,120,,p,,hc,,h,Rhiz2,,8,3,,0,60-65,0,<45,,553,166,10,4.4,14.4,1083,Co,19,9,4,6,3,3,Stace (1997),rhizomatous hemicryptophyte;  does not disappear in winter,,
0920  2616,Amsinckia micrantha,Bora,Bora,Unpl,AN,,,,70,,a,,Th,,h,0,,,,,,,,,Am4,336,1,0,3.4,15.4,701,,4,9,3,3,3,0,Stace (1991),,,
0920    98,Anacamptis pyramidalis,Orch,Orch,Aspa,N,,n,0.55,55,,p,,Gn,,h,0,,8,3,,0,55-60,0,<45,,840,350,9,4.1,15.5,861,,7,8,4,8,3,0,average of CTW (1962) & Stace (1997),,,
0920    99,Anagallis arvensis,Prim,Prim,Eric,N,,n,-0.73,20,,a,,Th,,h,0,,8,4,,0,50-55,0,<45,,1856,713,14,4.0,15.2,962,,4,7,4,6,5,0,CTW (1962);  reduced from 30 to 20 cm because decumbent,,,
0920   456,Anagallis minima,Prim,Prim,Eric,N,,n,-1.16,5,,a,,Th,,h,0,,7,3,,0,60-65,0,<45,,532,87,7,4.2,14.8,1155,,3,8,7,5,3,0,Stace (1997),,,
0920   100,Anagallis tenella,Prim,Prim,Eric,N,,n,-0.54,5,,p,,hc,Ch,h,Node2,,8,1,,0,60-65,0,<45,,1281,636,9,4.0,14.6,1139,,11,8,8,5,3,0,estimated height (MOH),"chamaephyte (CTW 1962), but buds are at ground level",,
0920   101,Anaphalis margaritacea,Aste,Aste,Aste,AN,,,0.07,100,,p,,hc,,h,Rhiz1,,,,,,,,,"As2, Am",259,12,2,3.6,14.8,1167,,"1, 3",8,5,6,3,0,Stace (1997),,,
0920  1218,Anchusa arvensis,Bora,Bora,Unpl,AR,,,-0.70,50,,a,b,Th,hc,h,0,,7,4,,,,,,,1514,75,13,3.7,15.0,874,,4,7,4,6,5,0,Stace (1991),CTW imply that mainly annual,,
0920   103,Andromeda polifolia,Eric,Eric,Eric,N,,n,0.09,35,,p,,Ch,,w,Rhiz2,,4,6,,0,>65,0,<45,,222,152,0,3.3,14.4,1159,,12,9,9,1,1,0,Stace (1997),dwarf shrub,,
0920   105,Anemone nemorosa,Ranu,Ranu,Ranu,N,,n,-0.70,23,,p,,Gn,,h,Rhiz1,,7,4,,0,>65,0,<45,,2305,541,3,3.3,14.5,1113,,"1, 16",5,6,5,4,0,Butcher (1961),,,
0920   109,Angelica sylvestris,Apia,Apia,Apia,N,,n,0.12,200,,p,,hc,,h,0,,5,4,,0,>65,0,<45,,2726,968,5,3.5,14.4,1109,,"11, 16",7,8,6,5,0,CTW (1962),,,
0920   110,Anisantha diandra,Poac,Poac,Poal,AN,,,1.50,80,,a,,Th,,h,0,,0,3,,,,,,Eur,307,6,12,3.9,16.0,728,,"3, 4, 19",7,4,5,4,0,Stace (1997),,,
0920   112,Anisantha rigida,Poac,Poac,Poal,AN,,,1.13,60,,a,,Th,,h,0,,0,3,,,,,,Eur,97,0,7,4.1,16.1,709,,"3, 4, 19",8,4,8,7,0,Stace (1997),,,
0920   113,Anisantha sterilis,Poac,Poac,Poal,AR,,,0.05,80,,a,,Th,,h,0,,8,3,,,,,,,1836,281,14,3.8,15.3,893,,"3, 4, 17",7,5,8,7,0,Stace (1997),,,
0910   115,Anogramma leptophylla,Adia,Adia,Poly,N,,o,,7,,a,,Th,,h,DRp,,9,1,,1,45-50,0,<45,,0,0,3,6.2,16.7,832,,3,7,2,8,1,0,Page (1997),"According to CTW (1962), prothallus is perennial","Prothalli produce tubers, by which aestivation is achieved (shown by Jeff Duckett to MOH near Naples, Feb. 2006)",
0920   116,Antennaria dioica,Aste,Aste,Aste,N,,n,-0.88,15,,p,,Ch,,h,Stol1,,5,5,,0,>65,0,<45,,968,356,0,2.9,13.3,1379,,"7, 10",8,5,4,2,0,Butcher (1961),,,
0920   117,Anthemis arvensis,Aste,Aste,Aste,AR,,,-1.79,50,,a,,Th,,h,0,,8,3,,,,,,,696,19,7,3.7,15.6,797,,"3, 4",7,4,7,6,0,Stace (1997),,,
0920   118,Anthemis cotula,Aste,Aste,Aste,AR,,,-1.60,60,,a,,Th,,h,0,,8,3,,,,,,,1103,49,6,3.8,15.7,809,,4,7,5,6,6,0,Stace (1997),,,
0920   122,Anthoxanthum aristatum,Poac,Poac,Poal,AN,,,-2.65,40,,a,,Th,,h,0,,,,,,,,,Eur,93,0,1,3.9,16.0,775,,"4, 17",7,4,4,5,0,Stace (1997),,,
0920   121,Anthoxanthum odoratum,Poac,Poac,Poal,N,,n,0.90,50,,p,,hc,,h,0gr,,6,4,,0,>65,0,<45,,2782,965,14,3.5,14.4,1106,,6,7,6,4,3,0,Stace (1997),,,
0920   123,Anthriscus caucalis,Apia,Apia,Apia,N,,n,-0.16,70,,a,,Th,,h,0,,7,3,,0,55-60,0,<45,,659,47,12,3.9,15.7,747,,"3, 4, 8",7,5,6,5,0,Stace (1991),,,
0920   125,Anthriscus sylvestris,Apia,Apia,Apia,N,,n,-0.19,100,,p,,hc,,h,0,,5,5,,0,>65,0,<45,,2480,805,5,3.6,14.6,1039,,3,6,5,7,7,0,CTW (1962),,clonal growth is accompanied by almost no lateral spread,
0920   126,Anthyllis vulneraria,Faba,Faba,Faba,N,,n,0.45,60,,p,,hc,,h,0,,5,3,,0,>65,0,<45,,1798,465,9,3.7,14.6,1030,,7,8,4,7,2,0,Stace (1997),,,
0920   127,Antirrhinum majus,Scro,Plan,Lami,AN,,,2.84,30,,p,,Ch,,h,0,,,,,,,,,Eur,1043,84,8,3.9,15.7,837,,"3, 17",8,3,7,5,0,Butcher (1961),,,
0920   129,Apera interrupta,Poac,Poac,Poal,AN,,,0.80,40,,a,,Th,,h,0,,8,4,,,,,,"Eur, As1",104,0,0,3.4,15.9,671,,"3, 4, 16",9,5,8,6,3,Stace (1997),,,
0920   130,Apera spica-venti,Poac,Poac,Poal,AR,,,-0.21,100,,a,,Th,,h,0,,5,4,,,,,,,326,1,3,3.7,16.0,726,,"3, 4",7,4,5,5,0,Stace (1997),,,
0920   132,Aphanes arvensis,Rosa,Rosa,Rosa,N,,n,,10,,a,,Th,,h,0,,7,3,,1,55-60,0,<45,,1608,432,4,3.7,15.0,956,,"4, 16",8,4,6,4,0,Stace (1991),,,
0920   131,Aphanes arvensis agg.,Rosa,Rosa,Rosa,N,,n,-0.32,10,,a,,Th,,h,0,,7,3,,,,,,,2302,659,14,3.6,14.7,1038,,"4, 8, 16",7,4,6,4,0,Stace (1991),,,
0920   133,Aphanes australis,Rosa,Rosa,Rosa,N,,n,,10,,a,,Th,,h,0,,7,3,,1,60-65,0,<45,,1549,230,14,3.5,14.6,1070,,"8, 16",7,4,5,4,0,Stace (1991),,,
0920   134,Apium graveolens,Apia,Apia,Apia,N,,n,-0.63,80,,b,,hc,,h,0,,8,4,,0,55-60,0,<45,,519,82,8,4.3,15.8,849,,13,8,8,7,7,2,average of CTW & Stace,,,
0920   135,Apium inundatum,Apia,Apia,Apia,N,,n,-0.54,30,50,p,,Hy,,h,Irreg,,7,2,,1,55-60,0,<45,,927,351,6,3.8,14.8,1023,,"11, 13",7,10,6,4,0,CTW (1962) - half size of A. nodiflorum,,,
0920   137,Apium nodiflorum,Apia,Apia,Apia,N,,n,-0.31,60,100,p,,Hy,,h,Irreg,,8,4,,1,55-60,0,<45,,1661,855,12,4.0,15.2,961,,14,7,10,7,7,0,Terrestrial height from Butcher (1961);  submerged length from Stace (1991),,,
0920   138,Apium repens,Apia,Apia,Apia,N,CR,r,,15,,p,,hc,,h,Node2,,7,3,,0,55-60,0,<45,,3,0,0,3.6,16.4,651,,13,9,9,7,7,0,Estimated from figure in Tutin (1980),Less of a hydrophyte than A. nodiflorum.,,
0920   141,Aquilegia vulgaris,Ranu,Ranu,Ranu,N,,n,1.70,100,,p,,hc,,h,0,,7,3,,1,55-60,0,<45,,1504,197,5,3.6,15.0,986,,"1, 3, 16",6,4,6,5,0,Stace (1997),,,
0920   142,Arabidopsis thaliana,Bras,Bras,Bras,N,,n,1.21,30,,a,,Th,,h,0,,7,4,,0,>65,0,<45,,2218,509,13,3.5,14.8,1034,,"16, 17",8,3,6,2,0,Stace (1991),,,
0920   143,Arabis alpina,Bras,Bras,Bras,N,EN,r,,15,,p,,Ch,,h,0,,1,4,,0,>65,0,<45,,1,0,0,2.5,11.8,3218,,16,7,5,7,3,0,Rich (1991),,,
0920  2108,Arabis glabra,Bras,Bras,Bras,N,VU,s,-1.16,100,,b,,hc,,h,0,,7,4,,0,>65,0,<45,,151,0,1,3.5,16.0,686,,8,7,3,8,5,0,Rich (1991),,,
0920   146,Arabis hirsuta,Bras,Bras,Bras,N,,n,-1.02,40,,b,p,hc,,h,0,,5,6,,0,>65,0,<45,,1042,143,4,3.3,14.6,1104,,"7, 16",7,5,8,3,0,Rich (1991),,,
0920   332,Arabis petraea,Bras,Bras,Bras,N,,s,-0.64,25,,p,,Ch,,h,0,,1,5,,0,>65,0,45-50,,78,2,0,1.7,11.9,1966,,"15, 16",9,3,8,1,0,Rich (1991),,,
